,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
Doddridge,,8391,1.9,0.7,20.77,Prosecuting Attorney,A. Brooke Fitzgerald,,2012,U,R,C,F,,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Doddridge&type=Official,,,,,,,,,,,,,,
Fayette,,45132,4.7,1.1,38.51,Prosecuting Attorney,Larry Harrah II,2015,appt,,,C,M,running/CALLED county clerk 2/8 but party not listed,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
Gilmer,,8618,12.8,6.2,33.48,Prosecuting Attorney,Gerald Hough,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Gilmer&type=Official,,,,,,,,,,,,,,
Grant,,11687,0.9,1.3,15.66,Prosecuting Attorney,Jeffrey Roth,,2012,U,R,C,M,running,John Ours,,M,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Grant&type=Official,,,,,,,,,,,,,,
Greenbrier,,35450,2.9,1.4,36.33,Prosecuting Attorney,Patrick Via,,2012,65.4,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Greenbrier&type=Official,,,,,,,,,,,,,,
Hampshire,,23483,1.3,1.3,28.79,Prosecuting Attorney,Dan James,,2012,53.2,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Hampshire,,,,,,,,,,,,,,
Hancock,,30112,2.6,1.2,38.18,Prosecuting Attorney,James W. Davis,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Hancock,,,,,,,,,,,,,,
Hardy,,13923,3,3.6,28.68,Prosecuting Attorney,Lucas See,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Hardy&type=Official,,,,,,,,,,,,,,
Harrison,,68761,1.7,1.6,37.22,Prosecuting Attorney,Rachel Romano,2014,appt,,D,C,F,running,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
Jackson,,29126,0.5,0.8,33.39,Prosecuting Attorney,Kenny Skeen,,2012,55.8,R,C,M,,Katie Franklin,,F,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Jackson,,,,,,,,,,,,,,
Jefferson,,55713,6.8,5.5,46.97,Prosecuting Attorney,Ralph Lorenzetti,,2012,U,D,C,M,,Matthew Harvey,,M,Charles Howard,,M,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Jefferson,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hassan Rasheed,,,,,,,,,,,,,,,,,,,,,,
Kanawha,,190223,7.6,1.1,43.26,Prosecuting Attorney,Charles Miller,2014,appt,,R,C,M,running,,,M,,,,,,,N,2016,,,,,,,,,,,,,,,
Lewis,,16414,0.6,1.2,27.61,Prosecuting Attorney,Christina Flanigan,2015,2014,55.6,R,C,F,,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2014&eid=21&county=Lewis,,,,,,,,,,,,,,
Lincoln,,21561,0.3,0.7,32.66,Prosecuting Attorney,Jim Gabehart,,2012,57.9,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Lincoln,,,,,,,,,,,,,,
Logan,,35348,2,0.9,29.04,Prosecuting Attorney,John Bennett,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Logan,,,,,,,,,,,,,,
Marion,,56803,3.5,1.2,41.59,Prosecuting Attorney,Pat Wilson,,2012,U,D,C,M,,,,,Jeffrey Freeman,,M,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Marion,,,,,,,,,,,,,,
Marshall,,32416,0.7,1,34.72,Prosecuting Attorney,Rhonda Wade,,appt,,D,C,F,running,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
Mason,,27016,0.9,0.6,38.59,Prosecuting Attorney,Craig Tatterson,,2012,62,R,C,M,,"Ronald Stein, Jr.",,M,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Mason,,,,,,,,,,,,,,
McDowell,,20448,9,0.6,34.08,Prosecuting Attorney,Ed Kornish,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=McDowell,,,,,,,,,,,,,,
Mercer,,61785,6.3,1,25.53,Prosecuting Attorney,Scott A. Ash,,2012,U,D,C,M,not running,George Victor Sitler,C,M,Kelli Harshbarger,C,F,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Mercer,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,John H McGinnis IV,,M,,,,,,,,,,,,,,,,,,,,
Mineral,,27578,3.1,0.9,26.28,Prosecuting Attorney,"James Courrier, Jr.",,2012,U,R,C,M,,F. Cody Pancake III,C,M,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Mineral,,,,,,,,,,,,,,
Mingo,,25716,1.9,0.6,27.5,Prosecuting Attorney,Teresa Maynard,2013,appt,,D,C,F,running,,,,Jonathan Jewell,,M,,,,N,2016,,,,,,,,,,,,,,,
Monongalia,,103463,3.9,2,43.93,Prosecuting Attorney,Marcia Ashdown,,2012,U,D,C,F,,,,,Leanne Cardoso,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Monongalia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Perri Jo Dechristopher,,,,,,,,,,,,,,,,,,,,,,
Monroe,,13582,0.8,0.8,27.92,Prosecuting Attorney,Justin R. St. Clair,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Monroe,,,,,,,,,,,,,,
Morgan,,17453,0.8,1.2,33.55,Prosecuting Attorney,Debra McLaughlin,,2012,U,R,C,F,,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Morgan,,,,,,,,,,,,,,
Nicholas,,25827,0.3,0.7,30.32,Prosecuting Attorney,Samuel White,,appt,,D,C,M,,,,,Jonathan Sweeney,,M,,,,N,2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Greg Tucker,,M,,,,,,,,,,,,,,,,,,,,
Ohio,,43328,3.7,1.1,37.89,Prosecuting Attorney,Scott R. Smith,,2012,U,D,C,M,running,Martin Sheehan,,M,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Ohio,,,,,,,,,,,,,,
Pendleton,,7371,2.4,1.1,33.16,Prosecuting Attorney,Kevin Sponaugle,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Pendleton,,,,,,,,,,,,,,
Pleasants,,7634,1.5,0.9,33.63,Prosecuting Attorney,Carl Bryant,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Pleasants,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Brian Carr,,M,,,,,,,,,,,,,,,,,,,,
Pocahontas,,8662,1.1,1.5,36.44,Prosecuting Attorney,Gene Simmons,,2012,57.8,NP,C,M,running,,,,Bob Martin,,M,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Pocahontas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston,,33788,1.3,0.9,26.28,Prosecuting Attorney,Melvin Snyder,,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Preston,,,,,,,,,,,,,,
Putnam,,56770,1.1,1.1,30.65,Prosecuting Attorney,Mark Sorsaia,,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Putnam,,,,,,,,,,,,,,
Raleigh,,78241,8.2,1.5,26.84,Prosecuting Attorney,Kristin Keller,,2012,U,D,C,F,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Raleigh,,,,,,,,,,,,,,
Randolph,,29429,1.5,0.8,34.26,Prosecuting Attorney,Michael Parker,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Randolph,,,,,,,,,,,,,,
Ritchie,,10011,0.4,0.7,20.27,Prosecuting Attorney,Steve Jones,,2012,U,R,C,M,,Katrina Christ,,F,Samuel Rogers II,,M,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Ritchie,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Michael Farnsworth, Jr",,M,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Rocco Mazzei,,,,,,,,,,,,,,,,,,,,,,,,,
Roane,,14664,0.4,0.9,38.42,Prosecuting Attorney,Josh Downey,,2012,U,R,C,M,running,,,,James McNeely,,M,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Roane,,,,,,,,,,,,,,
Summers,,13417,5.2,1.8,34.23,Prosecuting Attorney,Amy Mann,,2012,U,D,C,F,,Kristin Cook,,F,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Summers,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,David Gilbert,,M,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Richard Gunnoe,,M,,,,,,,,,,,,,,,,,,,,,,,
Taylor,,17069,1.1,0.9,32.85,Prosecuting Attorney,John L. Bord,,2012,57.1,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Taylor,,,,,,,,,,,,,,
Tucker,,6927,0.4,0.8,28.04,Prosecuting Attorney,Ray Lamora,,2012,50.4,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Tucker,,,,,,,,,,,,,,
Tyler,,9098,0.3,0.7,27.14,Prosecuting Attorney,D. Luke Furbee,,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Tyler,,,,,,,,,,,,,,
Upshur,,24731,0.9,1.2,26.08,Prosecuting Attorney,David Godwin,2014,appt,,R,C,M,running,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
Wayne,,41122,0.5,0.7,35.34,Prosecuting Attorney,Thomas Plymale,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Wayne,,,,,,,,,,,,,,
Webster,,8834,0.4,0.6,34.37,Prosecuting Attorney,Dwayne Vandevender,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Webster,,,,,,,,,,,,,,
Wetzel,,15988,0.5,0.7,37.86,Prosecuting Attorney,Timothy Haught,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Wetzel,,,,,,,,,,,,,,
Wirt,,5845,0.3,0.7,31.14,Prosecuting Attorney,Ted Davitian,,2012,55,R,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Wirt,,,,,,,,,,,,,,
Wood,,86237,1.2,1,33.05,Prosecuting Attorney,Jason Wharton,,2012,U,R,C,M,,Anne Marie Armstrong,,F,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Wood,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Patrick Lefebure,,M,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,22598,0.7,0.5,21.04,Prosecuting Attorney,Michael Cochrane,2013,appt,,D,C,M,running,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,,37811,1.8,9.4,45.8,County Attorney,Peggy Trent,,2014,52,D,C,F,,,,,,,,,,,,2018,http://www.co.albany.wy.us/election-results.aspx,,,,,,,,,,,,,,
Big Horn,,11930,0.9,9.1,16.3,County and Prosecuting Attorney,Kim Adams,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.bighorncountywy.gov/departments/clerk/elections,,,,,,,,,,,,,,
Campbell,,48320,0.9,8.2,12.3,County and Prosecuting Attorney,Ronald Wirthwein,2015,2014,67.58,R,C,M,,,,,,,,,,,,2018,http://www.ccgov.net/Search/Results?searchPhrase=election%20results,,,,,,,,,,,,,,
Carbon,,15854,1.5,17.3,32.4,County Attorney,Cal Rerucha,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.carbonwy.com/index.aspx?NID=997,,,,,,,,,,,,,,
Converse,,14097,1,7.7,17.2,District Attorney,Quentin Richardson,,2014,U,R,C,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Crook,,7248,1.1,2.6,11.6,County and Prosecuting Attorney,Joseph Baron,,2014,U,D,C,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Fremont,,40703,0.7,6.7,31.5,District Attorney,Patrick Lebrun,2015,2014,U,R,C,M,,,,,,,,,,,,2018,http://fremontcountywy.org/county-clerk/election-and-voting/general-election-2014-official-results/,,,,,,,,,,,,,,
Goshen,,13514,1.2,10.4,25.1,District Attorney,Kenneth Brown,2015,appt,,D,C,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Hot Springs,,4816,0.7,4,20.8,District Attorney,Jerry Williams,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.hscounty.com/departments/clerk/default.aspx,,,,,,,,,,,,,,
Johnson,,8573,0.8,4.8,17.6,County and Prosecuting Attorney,Tucker Ruby,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.johnsoncountywyoming.org/government/clerk/elections/election_results.html,,,,,,,,,,,,,,
Laramie,,96389,3.4,14.3,36.2,District Attorney,Jeremiah Sandburg,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.laramiecountyclerk.com/elections.aspx,,,,,,,,,,,,,,
Lincoln,,18567,0.8,4.5,14.9,County Attorney,Joshua Smith,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.lcwy.org/departments/clerk/election_results.php,,,,,,,,,,,,,,
Natrona,,81624,1.7,8.1,27.7,District Attorney,Heather Duncan-Malone,,2014,U,D,C,F,EMAIL SENT 2/8,,,,,,,,,,,2018,,,,,,,,,,,,,,,
Niobrara,,2463,1.1,2.6,15.7,District Attorney,Cally Lund,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.niobraracounty.org/_departments/_county_clerk/elections.asp,,,,,,,,,,,,,,
Park,,28989,1.1,5.8,20,District Attorney,Bryan Skoric,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.parkcounty.us/%5C/PCElections/2014generalresults.html,,,,,,,,,,,,,,
Platte,,8799,0.7,8.1,27,District Attorney,Doug Weaver,,2014,63.8,R,C,M,,,,,,,,,,,,2018,http://www.plattecountywyoming.com/clerk/elections/ElectionResults.aspx,,,,,,,,,,,,,,
Sheridan,,30032,1,4.2,25.3,County and Prosecuting Attorney,Matt Redle,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.sheridancounty.com/election_results/2014-general-election-results/,,may face criminal charges over coffee throwing/kicking incident in Dec 2015: http://thesheridanpress.com/?p=47194,,,,,,,,,,,,
Sublette,,10057,1.3,8.1,17.5,County and Prosecuting Attorney,Clay Kainer,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.sublettewyo.com/index.aspx?NID=358,,,,,,,,,,,,,,
Sweetwater,,45010,1.5,15.8,28.3,County Attorney,Daniel Erramouspe,,2014,68.8,R,C,M,,,,,,,,,,,,2018,http://www.sweet.wy.us/index.aspx?NID=124,,,,,,,,,,,,,,
Teton,,22930,1.2,15.2,54.2,County and Prosecuting Attorney,Stephen Weichman,1996,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.tetonwyo.org/cc/topics/election-results-2014-2012-2010-2008/253385/,,,,,,,,,,,,,,
Uinta,,20904,0.9,9.2,19.1,County Attorney,Loretta Howieson Gerrard,,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.uintacounty.com/index.aspx?NID=559,,,,,,,,,,,,,,
Washakie ,,8322,0.8,13.9,20.1,County Attorney,John Worrall,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.washakiecounty.net/system/app/pages/search?scope=search-site&q=2014+election,,,,,,,,,,,,,,
Weston,,7201,0.7,4.2,12.6,County Attorney,William Curley,,2014,U,R,C,M,,,,,,,,,,,,2018,http://westongov.com/_departments/_county_clerk/election_results.asp,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,roster by county: http://wisconsindaa.com/about.php,,,,,Filing deadline appears to be June 1 http://www.sheboyganpress.com/story/news/local/2016/01/04/sheboygan-district-attorney-dececco-retire/78254974/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,,20215,3.2,3.9,53.9,District Attorney,Tania Bonnett,,2012,U,NP,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Ashland,,16103,0.5,2.4,64.5,District Attorney,Kelly McNight,,2012,U,D,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Barron,,45455,1,2.4,48,District Attorney,Angela Beranek,,2012,U,D,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Bayfield,,14985,0.6,1.5,61.6,District Attorney,Fred Bourg,,2012,52.3,D,C,M,,,,,Kimberly Lawton,C,F,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Brown,,256670,2.5,8,48.5,District Attorney,David Lasee,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Buffalo,,13188,0.5,1.9,50.7,District Attorney,Thomas Clark,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Burnett,,15328,0.7,1.6,45.9,District Attorney,William Norine,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Calumet,,49491,0.7,4,43.5,District Attorney,Nicholas Bolz,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Chippewa,,63460,1.6,1.6,49.3,District Attorney,Steven Gibbs,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Clark,,34423,0.5,4.2,44.7,District Attorney,Lyndsey Boon Brunette,,2012,58.6,D,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Columbia,,56615,1.5,2.9,56.2,District Attorney,Jane Kohlwey,,2012,U,R,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Crawford,,16392,2,1.1,59.2,District Attorney,Timothy Baxter,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Dane,,516284,5.4,6.2,71,District Attorney,Ismael Ozanne,2010,2012,U,D,AA,M,running,,,,,,,,,,A,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Dodge,,88574,3.1,4.6,42.2,District Attorney,Kurt Klomberg,,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Door,,27766,0.7,2.7,53,District Attorney,Raymond Pelrine,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Douglas,,43698,1.2,1.4,64.9,District Attorney,Daniel Blank,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Dunn,,44305,0.7,1.8,51.5,District Attorney,James Peterson,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Eau Claire,,101564,1,2.3,56,District Attorney,Gary King,,2012,53.02,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Florence,,4481,0.4,1,36.3,District Attorney,Douglas Drexler,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Fond du Lac,,101759,1.6,4.9,41.9,District Attorney,Eric Toney,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Forest,,9127,1,2,52.2,District Attorney,Chuck Simond,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Grant,,51829,1.3,1.4,56.1,District Attorney,Lisa Riniker,,2012,U,R,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Green,,37063,0.6,2.9,58,District Attorney,Gary Luhman,,2012,U,R,C,M,,Craig R. Nolen,C,M,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Green Lake,,18836,0.6,4.6,39.2,District Attorney,Kyle Sargent,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Iowa,,23825,0.5,1.8,64.7,District Attorney,Larry Nelson,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Iron,,5917,0.3,1,49.1,District Attorney,Martin Lipske,,2012,50.01,NP,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Jackson,,20652,2.2,3.3,56.9,District Attorney,Gerald Fox,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Jefferson,,84395,1,6.9,45.5,District Attorney,Susan Happ,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Juneau,,26395,2.4,2.9,52.8,District Attorney,Mike Solovey,,2012,59.51,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Kenosha,,168068,7.3,12.6,55.5,District Attorney,Robert Zapf,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Kewaunee,,20444,0.5,2.3,46.7,District Attorney,Andrew Naze,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
La Crosse,,118011,1.5,1.7,57.8,District Attorney,Tim Gruenke,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Lafayette,,16853,0.4,3.8,57,District Attorney,Kate Findley,,2012,U,D,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Langlade,,19410,0.7,1.9,43.5,District Attorney,Ralph Uttke,,2012,U,D,C,F,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Lincoln,,28493,1.4,1.5,49.7,District Attorney,Don Dunphy,,2012,56.43,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Manitowoc,,80160,0.8,3.5,47.9,District Attorney,Mark Rohrer,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Marathon,,135780,0.8,2.6,46.3,District Attorney,Ken Heirmerman,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Marinette,,41298,0.5,1.5,47.6,District Attorney,Allen Brey,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Marquette,,15051,0.5,2.9,49.5,District Attorney,Chad Hendee,,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Menominee-Shawano,,4522,0.8,5.3,86.5,District Attorney,Greg Parker,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,,,,,,,,,,,,,
Milwaukee,,956406,27.2,14.2,67.5,District Attorney,John Chisholm,,2012,U,D,C,M,running,,,,Verona Swanigan,AA,F,,,,A,2016,http://www.gab.wi.gov/elections-voting/results/2012/fall-general,,http://www.jsonline.com/watchdog/noquarter/democrat-challenging-john-chisholm-has-uphill-battle-b99615918z1-350113691.html,,,,,,,,,,,,
